model_type,hidden_dim,num_layers,architecture,dropout,learning_rate,train_loss,val_loss,test_rmse
bilstm,64,2,"[256, 64]",0.1,0.001,0.5312,5.0096,1.6129
bilstm,64,2,"[256, 64]",0.1,0.0001,0.715,4.7336,1.6911
bilstm,64,2,"[256, 64]",0.2,0.001,0.6722,4.967,1.6147
bilstm,64,2,"[256, 64]",0.2,0.0001,0.7925,4.505,1.6622
bilstm,128,1,"[512, 128]",0.1,0.001,0.6235,6.127,1.9649
bilstm,128,1,"[512, 128]",0.1,0.0001,0.5197,4.8241,1.5742
bilstm,128,1,"[512, 128]",0.2,0.001,0.5757,5.5425,1.5913
bilstm,128,1,"[512, 128]",0.2,0.0001,0.6893,4.9809,1.6568
bilstm,128,1,"[1024, 512, 128]",0.1,0.001,0.7869,5.5046,1.7069
bilstm,128,1,"[1024, 512, 128]",0.1,0.0001,0.5055,4.4257,1.6353
bilstm,128,1,"[1024, 512, 128]",0.2,0.001,0.7566,5.3327,1.6634
bilstm,128,1,"[1024, 512, 128]",0.2,0.0001,0.6122,5.0025,1.5873
bilstm,128,1,"[256, 64]",0.1,0.001,0.5897,5.4624,1.7904
bilstm,128,1,"[256, 64]",0.1,0.0001,0.6248,4.9003,1.7002
bilstm,128,1,"[256, 64]",0.2,0.001,0.6878,5.4374,1.8825
bilstm,128,1,"[256, 64]",0.2,0.0001,1.0111,4.9802,1.6744
bilstm,128,2,"[512, 128]",0.1,0.001,0.5257,5.6272,1.6796
bilstm,128,2,"[512, 128]",0.1,0.0001,0.5062,4.9811,1.7191
bilstm,128,2,"[512, 128]",0.2,0.001,0.6426,5.2684,1.6452
bilstm,128,2,"[512, 128]",0.2,0.0001,0.7283,4.7884,1.7394
bilstm,128,2,"[1024, 512, 128]",0.1,0.001,0.5066,5.2642,1.7653
bilstm,128,2,"[1024, 512, 128]",0.1,0.0001,0.4874,5.1188,1.711
bilstm,128,2,"[1024, 512, 128]",0.2,0.001,0.826,5.6688,1.879
bilstm,128,2,"[1024, 512, 128]",0.2,0.0001,0.6402,4.9667,1.6883
bilstm,128,2,"[256, 64]",0.1,0.001,0.5965,5.4275,1.6007
bilstm,128,2,"[256, 64]",0.1,0.0001,0.644,4.8982,1.6011
bilstm,128,2,"[256, 64]",0.2,0.001,0.6174,5.205,1.6419
bilstm,128,2,"[256, 64]",0.2,0.0001,0.5845,5.2163,1.7726
bilstm,256,1,"[512, 128]",0.1,0.001,0.5565,5.2707,1.6256
bilstm,256,1,"[512, 128]",0.1,0.0001,0.6048,4.8616,1.6551
bilstm,256,1,"[512, 128]",0.2,0.001,0.6313,5.6147,1.6371
bilstm,256,1,"[512, 128]",0.2,0.0001,0.6238,4.9838,1.7173
